# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000533085Hz,0000000000c,0000000.000s, 024.4C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-03-15T23:07:00.094;2023-03-15T19:07:00.094;19.0;0;8268;10.19
2023-03-15T23:08:00.098;2023-03-15T19:08:00.098;19.0;0;6792;10.40
2023-03-15T23:09:00.090;2023-03-15T19:09:00.090;18.6;0;5587;10.62
2023-03-15T23:10:00.115;2023-03-15T19:10:00.115;19.0;0;4452;10.86
2023-03-15T23:11:00.093;2023-03-15T19:11:00.093;18.6;0;3621;11.08
2023-03-15T23:12:00.087;2023-03-15T19:12:00.087;18.6;0;2874;11.34
2023-03-15T23:13:00.088;2023-03-15T19:13:00.088;18.6;0;2304;11.57
2023-03-15T23:14:00.108;2023-03-15T19:14:00.108;18.6;0;1843;11.82
2023-03-15T23:15:00.096;2023-03-15T19:15:00.096;18.6;0;1467;12.07
2023-03-15T23:16:00.087;2023-03-15T19:16:00.087;18.6;361;1239;12.26
2023-03-15T23:17:00.095;2023-03-15T19:17:00.095;18.6;496;923;12.57
2023-03-15T23:18:00.088;2023-03-15T19:18:00.088;18.6;607;730;12.82
2023-03-15T23:19:00.103;2023-03-15T19:19:00.103;18.6;779;582;13.04
2023-03-15T23:20:00.098;2023-03-15T19:20:00.098;18.3;990;458;13.30
2023-03-15T23:21:00.103;2023-03-15T19:21:00.103;18.6;1285;366;13.59
2023-03-15T23:22:00.106;2023-03-15T19:22:00.106;18.6;1679;284;13.88
2023-03-15T23:23:00.097;2023-03-15T19:23:00.097;18.3;1928;223;14.03
2023-03-15T23:24:00.105;2023-03-15T19:24:00.105;18.6;2720;176;14.40
2023-03-15T23:25:00.097;2023-03-15T19:25:00.097;18.6;3191;139;14.58
2023-03-15T23:26:00.089;2023-03-15T19:26:00.089;18.6;3915;111;14.80
2023-03-15T23:27:00.081;2023-03-15T19:27:00.081;18.6;5047;88;15.07
2023-03-15T23:28:00.102;2023-03-15T19:28:00.102;18.3;6179;74;15.30
2023-03-15T23:29:00.106;2023-03-15T19:29:00.106;18.3;7964;57;15.57
2023-03-15T23:30:00.097;2023-03-15T19:30:00.097;18.3;10648;46;15.88
2023-03-15T23:31:00.090;2023-03-15T19:31:00.090;18.3;12619;38;16.07
2023-03-15T23:32:00.098;2023-03-15T19:32:00.098;18.3;14665;31;16.24
2023-03-15T23:33:00.090;2023-03-15T19:33:00.090;18.3;16629;26;16.36
2023-03-15T23:34:00.098;2023-03-15T19:34:00.098;18.3;21367;22;16.64
2023-03-15T23:35:00.104;2023-03-15T19:35:00.104;18.3;23094;20;16.73
2023-03-15T23:36:00.107;2023-03-15T19:36:00.107;18.3;29720;16;17.00
2023-03-15T23:37:00.098;2023-03-15T19:37:00.098;18.3;32213;14;17.09
2023-03-15T23:38:00.092;2023-03-15T19:38:00.092;18.3;37735;12;17.26
2023-03-15T23:39:00.100;2023-03-15T19:39:00.100;18.3;45080;11;17.46
2023-03-15T23:40:00.094;2023-03-15T19:40:00.094;18.3;47359;10;17.50
2023-03-15T23:41:00.119;2023-03-15T19:41:00.119;18.3;54747;9;17.66
2023-03-15T23:42:00.109;2023-03-15T19:42:00.109;18.3;61445;8;17.79
2023-03-15T23:43:00.097;2023-03-15T19:43:00.097;18.0;68156;7;17.90
2023-03-15T23:44:00.103;2023-03-15T19:44:00.103;18.0;76410;6;18.02
2023-03-15T23:45:00.097;2023-03-15T19:45:00.082;18.0;79383;5;18.07
2023-03-15T23:46:00.090;2023-03-15T19:46:00.090;18.0;83371;5;18.11
2023-03-15T23:47:00.333;2023-03-15T19:47:00.333;18.0;98453;5;18.30
2023-03-15T23:48:00.372;2023-03-15T19:48:00.372;18.0;100396;4;18.32
2023-03-15T23:49:00.097;2023-03-15T19:49:00.097;18.0;108427;4;18.40
2023-03-15T23:50:00.087;2023-03-15T19:50:00.087;18.0;115579;4;18.48
2023-03-15T23:51:00.082;2023-03-15T19:51:00.082;18.0;124070;3;18.56
2023-03-15T23:52:00.083;2023-03-15T19:52:00.083;18.0;130204;3;18.61
2023-03-15T23:53:00.081;2023-03-15T19:53:00.081;18.0;131026;3;18.61
2023-03-15T23:54:00.105;2023-03-15T19:54:00.105;18.0;116945;4;18.49
2023-03-15T23:55:00.097;2023-03-15T19:55:00.097;18.0;145180;3;18.72
2023-03-15T23:56:00.104;2023-03-15T19:56:00.104;18.0;130595;3;18.61
2023-03-15T23:57:00.109;2023-03-15T19:57:00.109;18.0;153451;3;18.78
2023-03-15T23:58:00.098;2023-03-15T19:58:00.098;18.0;155770;3;18.81
2023-03-15T23:59:00.107;2023-03-15T19:59:00.107;18.0;154823;3;18.80
2023-03-16T00:00:00.085;2023-03-15T20:00:00.085;18.0;162017;2;18.85
2023-03-16T00:01:00.079;2023-03-15T20:01:00.079;18.0;163127;3;18.85
2023-03-16T00:02:00.103;2023-03-15T20:02:00.103;18.0;167914;2;18.88
2023-03-16T00:03:00.094;2023-03-15T20:03:00.094;17.7;168766;3;18.89
2023-03-16T00:04:00.083;2023-03-15T20:04:00.083;17.7;168649;3;18.89
2023-03-16T00:05:00.109;2023-03-15T20:05:00.109;17.7;169535;2;18.89
2023-03-16T00:06:00.085;2023-03-15T20:06:00.085;17.7;169174;2;18.89
2023-03-16T00:07:00.093;2023-03-15T20:07:00.093;17.7;174836;3;18.93
2023-03-16T00:08:00.102;2023-03-15T20:08:00.102;17.7;169455;3;18.89
2023-03-16T00:09:00.094;2023-03-15T20:09:00.094;17.7;174501;3;18.93
2023-03-16T00:10:00.102;2023-03-15T20:10:00.102;17.7;170733;3;18.90
2023-03-16T00:11:00.107;2023-03-15T20:11:00.107;17.7;154025;3;18.79
2023-03-16T00:12:00.101;2023-03-15T20:12:00.101;17.7;162404;3;18.85
2023-03-16T00:13:00.093;2023-03-15T20:13:00.093;17.7;156113;3;18.81
2023-03-16T00:14:00.101;2023-03-15T20:14:00.101;17.7;174341;3;18.93
2023-03-16T00:15:00.110;2023-03-15T20:15:00.110;17.7;176346;3;18.94
2023-03-16T00:16:00.089;2023-03-15T20:16:00.089;17.7;176427;2;18.94
2023-03-16T00:17:00.096;2023-03-15T20:17:00.096;17.7;176071;3;18.93
2023-03-16T00:18:00.086;2023-03-15T20:18:00.086;17.7;155760;3;18.81
2023-03-16T00:19:00.078;2023-03-15T20:19:00.078;17.7;176223;3;18.94
2023-03-16T00:20:00.086;2023-03-15T20:20:00.086;17.7;175969;3;18.93
2023-03-16T00:21:00.094;2023-03-15T20:21:00.094;17.7;175947;3;18.93
2023-03-16T00:22:00.117;2023-03-15T20:22:00.117;17.7;176275;3;18.94
2023-03-16T00:23:00.080;2023-03-15T20:23:00.080;17.7;176262;2;18.94
2023-03-16T00:24:00.118;2023-03-15T20:24:00.118;17.7;170695;3;18.90
2023-03-16T00:25:00.093;2023-03-15T20:25:00.093;17.7;176537;2;18.94
2023-03-16T00:26:00.091;2023-03-15T20:26:00.091;17.7;171559;3;18.91
2023-03-16T00:27:00.092;2023-03-15T20:27:00.092;17.7;176601;2;18.94
2023-03-16T00:28:00.091;2023-03-15T20:28:00.091;17.7;171552;2;18.91
2023-03-16T00:29:00.084;2023-03-15T20:29:00.084;17.7;171928;3;18.91
2023-03-16T00:30:00.109;2023-03-15T20:30:00.109;17.7;176501;2;18.94
2023-03-16T00:31:00.100;2023-03-15T20:31:00.100;17.7;230800;2;19.24
2023-03-16T00:32:00.089;2023-03-15T20:32:00.089;17.7;230554;2;19.24
2023-03-16T00:33:00.102;2023-03-15T20:33:00.102;17.7;237030;2;19.27
2023-03-16T00:34:00.095;2023-03-15T20:34:00.095;17.7;231087;2;19.24
2023-03-16T00:35:00.092;2023-03-15T20:35:00.092;17.7;236449;2;19.26
2023-03-16T00:36:00.092;2023-03-15T20:36:00.092;17.7;230653;2;19.24
2023-03-16T00:37:00.092;2023-03-15T20:37:00.092;17.7;236929;1;19.27
2023-03-16T00:38:00.105;2023-03-15T20:38:00.105;17.7;232112;2;19.24
2023-03-16T00:39:00.080;2023-03-15T20:39:00.080;17.7;230735;1;19.24
2023-03-16T00:40:00.151;2023-03-15T20:40:00.151;17.4;237543;2;19.27
2023-03-16T00:41:00.081;2023-03-15T20:41:00.081;17.4;230629;2;19.24
2023-03-16T00:42:00.091;2023-03-15T20:42:00.091;17.4;231263;2;19.24
2023-03-16T00:43:00.084;2023-03-15T20:43:00.084;17.4;230865;2;19.24
2023-03-16T00:44:00.093;2023-03-15T20:44:00.093;17.4;230793;2;19.24
2023-03-16T00:45:00.104;2023-03-15T20:45:00.104;17.4;231060;2;19.24
2023-03-16T00:46:00.079;2023-03-15T20:46:00.079;17.4;237523;2;19.27
2023-03-16T00:47:00.087;2023-03-15T20:47:00.087;17.4;237544;2;19.27
2023-03-16T00:48:00.112;2023-03-15T20:48:00.112;17.4;232084;2;19.24
