# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: 
# Data supplier: 
# Location name: WCO
# Position (lat, lon, elev(m)): 41.965827, -71.183225, 30
# Local timezone: EST5EDT
# Time Synchronization: 0
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 5602
# SQM hardware identity: 0080A3EABD46
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000079,00005602
# SQM readout test rx: u, 00.00m,0000538094Hz,0000000000c,0000000.000s, 058.6C
# SQM readout test cx: c,00000019.98m,0000116.522s, 020.6C,00000008.71m, 034.4C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.312
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 10 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2023-09-06T23:27:00.106;2023-09-06T19:27:00.106;39.6;0;8821;10.13
2023-09-06T23:28:00.080;2023-09-06T19:28:00.080;39.6;0;7705;10.27
2023-09-06T23:29:00.085;2023-09-06T19:29:00.085;39.3;0;6103;10.52
2023-09-06T23:30:00.079;2023-09-06T19:30:00.079;39.6;0;4864;10.76
2023-09-06T23:31:00.104;2023-09-06T19:31:00.104;39.3;0;3958;10.99
2023-09-06T23:32:00.108;2023-09-06T19:32:00.108;39.3;0;2934;11.31
2023-09-06T23:33:00.083;2023-09-06T19:33:00.083;39.6;0;2262;11.60
2023-09-06T23:34:00.105;2023-09-06T19:34:00.105;39.6;0;1793;11.84
2023-09-06T23:35:00.108;2023-09-06T19:35:00.108;39.3;0;1457;12.07
2023-09-06T23:36:00.101;2023-09-06T19:36:00.101;39.3;393;1147;12.34
2023-09-06T23:37:00.104;2023-09-06T19:37:00.104;39.3;475;937;12.55
2023-09-06T23:38:00.093;2023-09-06T19:38:00.093;39.3;566;802;12.72
2023-09-06T23:39:00.099;2023-09-06T19:39:00.099;39.3;683;666;12.90
2023-09-06T23:40:00.107;2023-09-06T19:40:00.107;39.3;882;501;13.18
2023-09-06T23:41:00.100;2023-09-06T19:41:00.100;39.0;1169;391;13.49
2023-09-06T23:42:00.104;2023-09-06T19:42:00.104;39.3;1314;336;13.61
2023-09-06T23:43:00.095;2023-09-06T19:43:00.095;39.3;1461;313;13.73
2023-09-06T23:44:00.100;2023-09-06T19:44:00.100;39.0;1529;299;13.78
2023-09-06T23:45:00.109;2023-09-06T19:45:00.109;39.3;1837;255;13.98
2023-09-06T23:46:00.103;2023-09-06T19:46:00.103;39.3;2388;191;14.26
2023-09-06T23:47:00.107;2023-09-06T19:47:00.107;39.3;3485;138;14.67
2023-09-06T23:48:00.097;2023-09-06T19:48:00.097;39.0;4502;106;14.95
2023-09-06T23:49:00.102;2023-09-06T19:49:00.102;39.0;4746;93;15.01
2023-09-06T23:50:00.096;2023-09-06T19:50:00.096;39.0;6169;78;15.29
2023-09-06T23:51:00.107;2023-09-06T19:51:00.107;39.0;6941;66;15.42
2023-09-06T23:52:00.095;2023-09-06T19:52:00.095;39.0;9090;51;15.71
2023-09-06T23:53:00.101;2023-09-06T19:53:00.101;39.0;11124;40;15.93
2023-09-06T23:54:00.107;2023-09-06T19:54:00.107;39.0;13712;34;16.16
2023-09-06T23:55:00.100;2023-09-06T19:55:00.100;39.0;15446;30;16.29
2023-09-06T23:56:00.125;2023-09-06T19:56:00.125;39.0;18401;24;16.47
2023-09-06T23:57:00.098;2023-09-06T19:57:00.098;39.0;23695;19;16.76
2023-09-06T23:58:00.103;2023-09-06T19:58:00.103;39.0;29534;16;16.99
2023-09-06T23:59:00.095;2023-09-06T19:59:00.095;39.0;32731;14;17.10
2023-09-07T00:00:00.086;2023-09-06T20:00:00.086;39.0;38020;12;17.26
